PURCHASEINVOICE_ID,PURCHASEINVOICE_NUMBER,PURCHASEINVOICE_DATE,PURCHASEINVOICE_DUE,PURCHASEINVOICE_SUPPLIER,PURCHASEINVOICE_CURRENCY,PURCHASEINVOICE_CONDITIONS,PURCHASEINVOICE_PAYMENTMETHOD,PURCHASEINVOICE_SENTMETHOD,PURCHASEINVOICE_PURCHASEINVOICESTATUS,PURCHASEINVOICE_OPERATOR,PURCHASEINVOICE_COMPANY,PURCHASEINVOICE_UUID,PURCHASEINVOICE_NET,PURCHASEINVOICE_GROSS,PURCHASEINVOICE_VAT,PURCHASEINVOICE_TOTAL,PURCHASEINVOICE_NAME
1,PI00000001,2024-03-31,2024-01-01,4,30,19LsfZDJ1kUmWBGRd4wsaTFjrUJjuwLQoZ,4,2,1,9,5,536e16a1-4e6d-4d29-9c4b-71e4b0e08041,2432.19,2918.63,584.17,3502.80,PI00000001/2024-03-31/3502.80
2,PI00000002,2024-03-18,2024-01-25,10,30,1J2nFL1By6SohYszCgjfbfRCiVX8iLWrpa,4,2,5,7,9,75d5e171-64f1-4918-9e94-bd3e4c1fdad3,2513.61,3016.33,603.27,3619.60,PI00000002/2024-03-18/3619.60
3,PI00000003,2024-01-14,2024-01-31,5,30,1BsWd1dsTihDd4Dy2BK9yTFFmz5KZtdwHY,1,2,2,6,3,d65c6a32-fd91-49fd-8b43-d0f2ab5f809e,1239.07,1486.89,297.38,1784.27,PI00000003/2024-01-14/1784.27
4,PI00000004,2024-03-15,2025-01-03,7,30,1KG8j5vrbRR5SUCKrvG73mGRuXG4aX1fxF,1,2,3,3,10,279787a4-d7cc-4cc8-a4de-83c1bfae0a44,2303.27,2763.92,552.78,3316.70,PI00000004/2024-03-15/3316.70
5,PI00000005,2024-03-10,2024-01-04,9,30,13rGY5z64NKsqm2vWSAkCePwpqnS36JnWM,4,1,1,2,7,c6a95cc9-d18b-4ad1-97f1-6bb1a81259e7,2403.51,2884.21,576.84,3457.05,PI00000005/2024-03-10/3457.05
6,PI00000006,2024-02-08,2024-03-06,9,30,15YnL2eHryc6hKbH8saACU32BpFL47XWHx,1,1,5,5,5,8e8b9434-fc1d-4d75-a61a-d3dd79a8af6d,1327.81,1593.37,318.67,1912.04,PI00000006/2024-02-08/1912.04
7,PI00000007,2024-03-29,2024-02-09,2,30,14EN1wF2o7FzW52iBHyXyrX1YAEacmzx4B,3,2,5,4,4,aba8b8da-6e4b-487f-bef8-cb51e094e2db,2538.39,3046.07,609.21,3655.28,PI00000007/2024-03-29/3655.28
8,PI00000008,2024-04-04,2024-04-24,10,30,16yYix1RieaCfB1Dn1EkiaBZsmZzPZuBKC,1,2,1,1,6,9d7fbae1-8953-409a-8647-2a58726c1d1e,1687.58,2025.10,405.02,2430.12,PI00000008/2024-04-04/2430.12
9,PI00000009,2024-04-08,2024-04-27,6,30,1BE4s37jJQ6uf1YYXMvf4LUEjUJtRjFmdX,2,2,5,5,1,315cbedd-3f6a-4498-bf81-3be4b78d5c0c,2017.73,2421.28,484.26,2905.54,PI00000009/2024-04-08/2905.54
10,PI00000010,2024-02-07,2024-03-23,8,30,1CHsAy8VT3i4svM3VnjgzZzX6uC3cxUGff,4,1,6,10,9,a2d66e26-6763-476d-80a3-7b5f0e9471af,2422.04,2906.45,581.29,3487.74,PI00000010/2024-02-07/3487.74
11,PI00000011,2024-03-31,2024-02-15,9,30,13hRdpB8VMdSjbLFrkKagegYsP4eEyP8wL,2,1,6,8,2,ebb72749-f22f-4be4-9f78-7e0452a77480,1913.76,2296.51,459.30,2755.81,PI00000011/2024-03-31/2755.81
12,PI00000012,2024-03-30,2024-04-14,1,30,1B2tnisxFdntwRaNo4EvTudx7rtmEXoS9u,1,2,5,1,4,98d69ac2-3d44-4526-ae7b-35e5e20b9623,1284.68,1541.62,308.32,1849.94,PI00000012/2024-03-30/1849.94
13,PI00000013,2024-04-11,2024-09-03,8,30,1L26B372LgsLnMpeFMLS3JWkGQKMQ49q5A,3,1,1,5,1,cfcf7d14-27b0-404e-bdf5-f91e570cfa07,1717.18,2060.61,412.12,2472.73,PI00000013/2024-04-11/2472.73
